ID;P4Edad;RegiónID;LugarEntrevista;Pc1ViveSC;Pc2ViveOtrasPersonas;Pc3RespondióAntes;Pc4RespondióCuestMeses;P10TiempoCalleAños;P10TiempoCalleMeses;P10TiempoCalleDías;P11EdadInicioCalle;P12RazónCalle;P13DurmióAnoche;P14DurmióAnocheLugar;P15AccesoAgua;P15AccesoDucha;P15AccesoWc;P16VecesCalle;P17ASaludVisual;P17BSaludAuditivo;P17CSaludCaminar;P17DSaludRecordar;P17ESaludAseo;P17FSaludEntender;P17GSaludSociable;P17HSaludMotricidad;P17ISaludTrabajar;P17JSaludDormir;P17KSaludRespirar;P17LSaludCuidarOtros;P18EnfCrónica;P19EnfCrónicaTrat;P20AConsumoAlcohol;P20BConsumoMarihuana;P20CConsumoPastaBase;P20DConsumoOtras;P21ProtocoloRsh;P22Indígena;P23AsisteEducac;P24Curso;P25TipoEducación;P26Trabaja;P27Contrato;P28IngresoTrabajo;P29IngresoJubilac;FechaCreación;RSH
1;45 a 59;Tarapacá;7;1;1;2;;12;0;0;12;1;2;5;1;2;2;3;4;1;1;1;1;1;1;1;2;1;1;1;2;;1;2;2;2;2;0;2;1;2;1;4;200000;0;20211130;Tiene RSH
2;18 a 44;Tarapacá;7;1;1;2;;20;0;0;11;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;2;0;2;8;2;1;2;50000;0;20210928;No tiene RSH
3;18 a 44;Tarapacá;7;1;1;2;;17;0;0;13;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;1;2;2;0;2;2;2;1;4;300;0;20210927;Tiene RSH
4;18 a 44;Tarapacá;7;1;1;2;;30;0;0;5;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;0;2;8;1;1;4;30000;0;20210909;Tiene RSH
5;18 a 44;Tarapacá;4;1;1;2;;20;;;;1;2;5;3;3;2;;1;1;4;1;1;1;1;1;1;4;1;3;1;2;1;1;1;2;1;;;;;;;;;20180129;Tiene RSH
6;60 o mayor;Tarapacá;4;1;1;2;;5;0;0;18;5;1;;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;0;2;8;1;2;;;100000;20211102;Tiene RSH
7;45 a 59;Tarapacá;7;1;1;2;;6;;;;2;1;;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;1;2;2;0;2;4;1;;;;;20170809;No tiene RSH
8;18 a 44;Tarapacá;7;1;1;2;;10;0;0;30;5;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;2;4;2;3;3;1;4;500000;0;20210928;Tiene RSH
9;60 o mayor;Tarapacá;4;1;1;2;;5;0;0;49;1;2;5;2;2;2;5;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;0;2;2;2;2;;;0;20210903;Tiene RSH
10;45 a 59;Tarapacá;7;1;1;2;;2;6;0;43;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;2;0;2;8;2;2;;;0;20210907;Tiene RSH
